"Id","Business Name","Number of Employees","Contact Person","Corporate Email","Generic Email","Website","Phone","Phone Type","Street Address","Zip Code","State","City"
"30","Fra Engineering PC","N/A","","","","","(404) 841-7886","fixed line","260 Peachtree Way NE","30305","GA","Atlanta"
"31","Temco Transit Services","N/A","Mrs. Lakera Howard (Owner)","","","","(470) 396-0375","fixed line","1700 Northside Dr NW","30318-2673","GA","Atlanta"
"32","JM Coast Trucking","N/A","","","","","(770) 464-6107","fixed line","3201 Lenox Rd NE Apt 40","30324","GA","Atlanta"
"33","Apalla-logistic","N/A","","","","","(906) 368-4005","fixed line","1710 Chattahoochee Ave NW","30318-2156","GA","Atlanta"
"34","Stefan","N/A","Mr. Isaiah Cochran (President)","","filler@godaddy.com","https://www.stefan-logistics.com","(800) 490-3075","","3280 Peachtree Rd NE Fl 7","30305-2430","GA","Atlanta"
"35","Bossy Girl Freight","N/A","Ms. Akilah Lowery , Ms. Akilah Lowery (Owner)","","","","(770) 464-6520","fixed line","3379 Peachtree Rd NE Ste 555","30326-1418","GA","Atlanta"
"36","UnitedHealth Group","N/A","Stephen Hemsley (President   CEO) , Consumer Affairs (Owner / Manager) , Jean Manowski (Manager) , Kevin Klopfenstein (CEO) , Jay Anliker (President) , Deltha Nelson (Legal Services Specialist) , Michelle Johnson (Manager) , Michael Stone (Director, Operations) , Michael Blaszyk (Owner)","","","https://www.uhc.com/","(800) 842-2656","","9900 Bren Rd E Mn008-T-615 Consumer Affairs","55343-4402","MN","Minnetonka"
"37","Alberani Express","N/A","","","","http://alberani-express.com/","(315) 636-5261","fixed line","3355 Lenox Rd NE STE 1000","30326-2000","GA","Atlanta"
"38","Macaw Parrot Eggs For Sale","N/A","Complaint Handler","","","https://macawparroteggsforsale.com/","(760) 465-4079","fixed line","","30303","GA","Atlanta"
"39","Bast Freight LLC","N/A","","","","http://www.bastfreight.com","(404) 671-9193","fixed line","3355 Lenox Rd NE Ste 750","30326","GA","Atlanta"
"40","Smart Shippers Co","N/A","Maria Goodson (Human Resources Manager)","","","","(404) 382-0305","fixed line","950 East Paces Ferry Rd","30326","GA","Atlanta"
"41","Seawide Express","N/A","Phil Hinkle (General Manager)","","","http://http://www.seawideexpress.com","(404) 942-1150","fixed line","1000 Abernathy Rd Ste 600","30328","GA","Atlanta"
"42","The Pacific Lane","N/A","Ms. Jenefir White (Supervisor)","","","","(786) 765-0873","fixed line","Hartford Place Sw Atlanta","30303","GA","Atlanta"
"43","OC Transportation Inc","N/A","","","","http://www.oc-trans.com","(404) 588-5172","fixed line","57 Forsyth St NW Suite 250-G","30303","GA","Atlanta"
"44","Knox-Addley Art Design Services","N/A","Mr. Ed Addley (Owner) , Mr. Everett Hemphill (Manager of Operations)","","info@knoxaddley.com","http://www.knoxaddley.com","(404) 603-8000","fixed line","1468 Southland Cir NW","30318","GA","Atlanta"
"45","Central Links Global","N/A","","","","","","","31 Forsyth St SW # B","30303-3155","GA","Atlanta"
"46","NAC, Inc.","N/A","Mr. Dale Conner (Owner)","","matt@pixelspread.com","http://www.nacincorp.com","(833) 715-0743","","3379 Peachtree Rd NE Ste 555","30326-1418","GA","Atlanta"
"47","Competitive Insights, LLC","N/A","","","","http://www.competitivelogistics.com","(770) 922-4400","voip","4200 Northside Pkwy NW Bldg 12","30327-3000","GA","Atlanta"
"48","GO Freight Trucking Company LLC","N/A","George Hawkins","","","","(404) 399-4043","mobile","830 Commonwealth Ave SE","30312-3662","GA","Atlanta"
"49","Intellitrans","N/A","Jeanne Risley (Manager of Purchasing)","","","http://www.intellitrans.com","(404) 523-7474","fixed line","133 Peachtree St NE Ste","30303","GA","Atlanta"
"1","General Logistics Systems US, Inc.","N/A","","","","https://www.gls-us.com/","(800) 322-5555","","4942 Jefferson St NE","87109-2307","NM","Albuquerque"
"2","United Parcel Service","N/A","Customer Relations , Ms. Lani Perez","","","http://www.ups.com","(404) 828-6000","fixed line","55 Glenlake Pkwy NE","30328-3474","GA","Atlanta"
"3","Fidelitone","N/A","Mr. Joe Giglio (Chief Marketing Officer) , Mr. Robert Johnson (President) , Mr. Ross Hudson (Corporate Secretary)","","","https://www.fidelitone.com","(847) 487-3300","fixed line","1260 Karl Ct","60084-1086","IL","Wauconda"
"4","MPR Logistics, LLC","N/A","Mr. Peter Rallis (President/Co-Owner) , Ms. Alicia Jaramillo (Controller) , Mrs. Michelle Rallis (CEO/Owner) , Ms. Dawn Morgan (Project Manager)","","sales@hotshotservices.com, PDXsales@hotshotservices.com, SJC@hotshotservices.com","https://www.hotshotservices.com/","(505) 344-5440","fixed line","4111 Ellison St NE","87109-4575","NM","Albuquerque"
"5","Mollins Logistics Services, LLC","N/A","Mr. Kyong Boles (Manager) , Mr. Irene Sullivan (Human Resources Staff) , Ms. Alyssa Lopez (Human Resources Staff)","","","https://mollinsrv.com","(505) 207-9665","voip","400 Gold Ave SW # 726","87102-3283","NM","Albuquerque"
"6","Safe Ride Logistics, LLC","N/A","Mr. Paul Aitken (Owner)","","","","","","300 Hermosa Dr NE","87108-1026","NM","Albuquerque"
"7","Mobile Collections Solutions   Logistics LLC","N/A","Mr. Martin Petsonk (Owner)","","buddydas@pvtn.net","http://mobiledrugtesting.business.site","(575) 626-6684","mobile","","87120-1425","NM","Albuquerque"
"8","Distribution Management Corp., Inc.","N/A","Mr. Steve Griego (President)","","salesinquiry@dmc-logistics.com","http://www.dmc-logistics.com","(505) 344-9898","fixed line","4921 Chappell Dr NE","87107-6825","NM","Albuquerque"
"9","Heire Logistic Services LLC","N/A","","","","https://www.heirels.com","(505) 657-4118","voip","500 Marquette Ave NW # 439","87102-5340","NM","Albuquerque"
"10","Certified Packing   Crating, Inc.","N/A","Mr. Dave Slavens (Owner) , Ms. Ursula Slavens (Co-Owner)","","","http://www.certifiedpacking.com","(505) 998-3810","mobile","3361 Columbia Dr NE","87107-2001","NM","Albuquerque"
"11","Graybar Electric Co Inc.","N/A","Mrs. Kathy Mazzarella (Chairperson/CEO) , Ms. Rose McDaniel (Vice President of Operations)","","","http://www.graybar.com","(314) 573-9200","fixed line","34 N Meramec Ave","63105-3941","MO","Saint Louis"
"12","New Mexico Van Lines, Inc.","N/A","Mr. Notah Howe (President) , Mrs. Kerra Howe (Secretary)","","","https://www.northamerican.com/moving-companies/new-mexico/albuquerque","(505) 823-1400","fixed line","5005 Paseo Del Norte NE","87113-1507","NM","Albuquerque"
"13","UnitedHealth Group","N/A","Stephen Hemsley (President   CEO) , Consumer Affairs (Owner / Manager) , Jean Manowski (Manager) , Kevin Klopfenstein (CEO) , Jay Anliker (President) , Deltha Nelson (Legal Services Specialist) , Michelle Johnson (Manager) , Michael Stone (Director, Operations) , Michael Blaszyk (Owner)","","","https://www.uhc.com/","(800) 842-2656","","9900 Bren Rd E Mn008-T-615 Consumer Affairs","55343-4402","MN","Minnetonka"
"14","Pilot Air Freight, Inc.","N/A","Mr. John Hill (President/COO)","","","http://www.pilotdelivers.com","(610) 891-8100","fixed line","2 Braxton Way Ste 400","19342-2379","PA","Glen Mills"
"15","Albuquerque Moving   Storage Co., Inc.","N/A","Mr. Notah Howe (President) , Mrs. Kerra Howe (Secretary)","","","http://www.abqmoving.com","(505) 823-1441","fixed line","5001 Paseo Del Norte NE","87113-1507","NM","Albuquerque"
"16","Barb Transport, LLC","N/A","Mr. Julian Barb (Owner) , Mr. Arthur Walker (Owner)","","","","(505) 235-8666","mobile","829 Griegos Rd NW","87107-3744","NM","Los Ranchos"
"17","Ryder System, Inc.","N/A","Ms. Olga Alvarez (Paralegal) , Heather Steinberg (Marketing and Communications Manager)","","","http://www.ryder.com","(305) 500-3683","fixed line","11690 NW 105th St","33178-1103","FL","Medley"
"1","Collar Cargo Logistics","N/A","","","","","(757) 955-2587","fixed line","1432 N Cedar Ave Apt 107","93703-5303","CA","Fresno"
"2","J S R Logistics","N/A","Ms. Juanita S. Ray (President)","","","","(559) 486-1663","voip","2126 Mayfair Dr W","93703-2313","CA","Fresno"
"3","SSP Transport   Logistics","N/A","Mr. Sachin Dua (Owner)","","","","(559) 577-5558","mobile","3763 W Sample Ave","93721","CA","Fresno"
"4","General Maintenance   Logistics","N/A","Mr. Juan Sanchez (Owner)","","","","(559) 396-2433","mobile","","93705-1522","CA","Fresno"
"5","Sierra West Warehouse and Logistics","N/A","Mr. Dale Mendoza (CEO)","","","http://www.sierraww.com","(559) 485-2892","fixed line","2474 S Orange Ave","93725-1328","CA","Fresno"
"6","Tucker Logistics, Inc","N/A","Patrick Tucker (Owner)","","","","(559) 492-8653","fixed line","Unpublished","93705","CA","Fresno"
"7","Major Express Logistics","N/A","Mr. Bhupinder Gill (Owner) , Mr. Cesar Cardinez (Office Manager)","","","","(559) 485-5949","voip","3342 N Weber Ave","93722-4909","CA","Fresno"
"8","Brock Logistics","N/A","Mr. Baljinder Sangha (President)","","","http://www.brockweb.com/","(559) 500-1354","fixed line","","93727-5278","CA","Fresno"
"9","Ryder System, Inc.","N/A","Ms. Olga Alvarez (Paralegal) , Heather Steinberg (Marketing and Communications Manager)","","","http://www.ryder.com","(305) 500-3683","fixed line","11690 NW 105th St","33178-1103","FL","Medley"
"10","R R Transport","N/A","","","","","(559) 217-9315","mobile","2525 E. Hammond Ave","93703","CA","Fresno"
"11","Fisher Brothers Trucking   Logistics","N/A","John Fisher (Owner) , Matthew Fisher (Partner)","","dispatch@fisherbroslogistics.com","http://fisherbroslogistics.com","(559) 568-3264","fixed line","19531 Highway 65","93267-9458","CA","Strathmore"
"12","R   A Transportation Logistics, Inc.","N/A","Mr. Richard Arias (President)","","","","(559) 230-0330","voip","PO Box 9640","93793-9640","CA","Fresno"
"13","UPS","N/A","","","","","","","1601 W McKinley Ave","93728-1220","CA","Fresno"
"14","Allstar Hauling CA, LLC","N/A","Mr. Luis Maldonado","","","","(559) 349-6256","mobile","","93727-1963","CA","Fresno"
"15","Graybar Electric Co Inc.","N/A","Mrs. Kathy Mazzarella (Chairperson/CEO) , Ms. Rose McDaniel (Vice President of Operations)","","","http://www.graybar.com","(314) 573-9200","fixed line","34 N Meramec Ave","63105-3941","MO","Saint Louis"
"16","R R Ortiz Trucking, LLC","N/A","Mr. Raul Ortiz (CEO/Owner)","","","","(559) 341-7241","mobile","4076 N Hughes Ave","93705-1852","CA","Fresno"
"17","Johanson Transportation Service","N/A","Mr. Larry Johanson (President) , Ms. Janice Spicer (CFO) , Ms. Alicia Bly (VP of Corporate Operations   Legal Affairs)","","","http://www.johansontrans.com","(559) 458-2200","fixed line","5583 E Olive Ave","93727-2559","CA","Fresno"
"18","New Star Warehouse   Packaging, Inc.","N/A","Mr. Edgar Kenner (General Manager)","","","http://www.newstarlogistics.com","","","2035 E Annadale Ave","93706","CA","Fresno"
"19","Barrett Distribution Centers, Inc","N/A","Mr. Arthur Barrett (President) , Mr. Tim Barrett (COO) , Mr. Adam Robertson (Vice President of Customer Care) , Mr. Scott Hothem (Senior Vice President) , Mr. Lewis Frazer (Senior Vice President)","","","http://www.barrettdistribution.com","(508) 553-8800","fixed line","15 Freedom Way","02038","MA","Franklin"
"1","NYK Logistics Inc","N/A","Ms. Kazu Zuo (President)","","","","(310) 518-3008","fixed line","2417 E Carson St # 210","90810-1252","CA","Long Beach"
"2","Web Trans Logistics","N/A","","","","http://www.webtransusa.com","(310) 522-6666","fixed line","21136 S Wilmington Ave # 200","90810-1248","CA","Long Beach"
"3","American Logistics Intermodal, Inc.","N/A","","","","","(562) 590-6973","fixed line","320 Pine Avenue Suite 601","90802-2310","CA","Long Beach"
"4","LAN Logistics, Inc.","N/A","Mr. John Donaldson (CEO)","","customerservice@lanlogistics.com","https://www.lanlogistics.com/","(562) 449-8443","mobile","1520 W 11th St","90813-2618","CA","Long Beach"
"5","Vanguard Logistics Services (USA) Inc","N/A","Mr. Charles Brennan (President/Chairman)","","","","(206) 623-6237","fixed line","10700 Meridian Ave N Ste 107","98133","WA","Seattle"
"6","Sigma Montoya Logistics Consulting LLC","N/A","Mr. Jose Montoya (Owner)","","","","(562) 607-1624","mobile","250 W. Ocean Blvd. STE 1901","90802","CA","Long Beach"
"7","VanGuard Logistics","N/A","","","","https://www.vanguardlogistics.com/","","","5000 Airport Plaza Dr STE 200","90815-1367","CA","Long Beach"
"8","NACA Logistics (USA) Inc.","N/A","","","","","(310) 835-8900","fixed line","5000 Airport Plaza Dr STE 100","90815-1273","CA","Long Beach"
"9","Match Freight Lines","N/A","Mr. Roger Garcia","","","","(562) 565-5644","fixed line","2201 E Willow St","90755-2148","CA","Long Beach"
"10","Schafer Brothers Piano Movers","N/A","","","","http://www.schaferlogistics.com","(310) 835-7231","fixed line","1981 E 213th St","90810-1202","CA","Long Beach"
"11","Core Trans Logistics, LLC","N/A","Ms. Evelyn Nunez (President/CEO) , Mr. Ramon Nunez (Manager)","","coretranslogistics@icloud.com","http://www.coretranslogistics.org","(562) 241-9104","mobile","201 Covina Ave #5","90803-1843","CA","Long Beach"
"12","ComFreight","N/A","Stephen Kochan","","","https://comfreight.com/","(888) 633-5558","","235 E Broadway STE 940","90802-4884","CA","Long Beach"
"13","ARC Air Logistics, Inc.","N/A","","","","","(310) 549-3778","fixed line","1950 East 220th Street, Suite 201","90810-1651","CA","Long Beach"
"14","Yusen Logistics","N/A","","","","http://enlighten.enphase.energy.com","(833) 963-3820","","2417 E Carson St","90810-1231","CA","Carson"
"15","Hellman International Forwarders","N/A","Mr. Bruce Barash (Vice President)","","","http://www.hellmann.net","(310) 847-4600","fixed line","2270 E 220th St","90810-1638","CA","Long Beach"
"16","Extra Logistics","N/A","Mr. Peter Gruettner (Owner)","","","http://www.extralogistics.com","(562) 461-0676","fixed line","5150 Candlewood St Ste 20B","90712-1929","CA","Lakewood"
"17","J D Transportation","N/A","Ms. Jocelyn Martinez (Founder/CEO)","","info@jd-transportation.com","http://www.jd-transportation.com","(310) 522-4487","fixed line","","90748-0184","CA","Wilmington"
"18","Caro Trans Intl Inc","N/A","","","","http://carotrans.com","(310) 631-4087","fixed line","1500 W Carson St STE 100","90810-1401","CA","Long Beach"
"1","EG Logistics LLC","N/A","Mr. Jaime Rodriguez (Owner)","","","","(602) 486-2331","mobile","308 N York Cir","85213-8451","AZ","Mesa"
"1","Kansas Premium Logistics","N/A","","","","","(913) 826-6896","fixed line","1730 Prospect Avenue","64127","MO","Kansas City"
"2","Logical Logistics Transport Corp","N/A","","","","","(913) 217-8754","mobile","4305 NE Sunnybrook Ln","64117","MO","Kansas City"
"3","24/7 Express Logistics, Inc.","N/A","Rick Gilbert (President)","","","http://www.247expresslogistics.com","(866) 866-2477","","16160 Vernon St.","64116","MO","North Kansas City"
"4","Henry Industries, Inc.","N/A","Mr. Brett Henry (CEO)","","","http://henryindustriesinc.com","(816) 221-9611","fixed line","1602 Jasper St","64157","MO","Kansas city"
"5","Total Quality Logistics, LLC","N/A","Mr. Ken Oaks (President) , Mr. Jeff Montelisciani (Vice President) , Mr. Kerry Byrne (Executive Vice President) , Mr. Justin O'Grady (Manager, Carrier Relations)","","","http://www.tql.com","(513) 831-2600","fixed line","4289 Ivy Pointe Blvd.","45245","OH","Cincinnati"
"6","MXD Group, Inc.","N/A","Mr. Terry Solvedt (Chief Executive Officer) , Ms. Susan Ruud (Customer Service Supervisor) , Ms. Donna Clark (Customer Service Supervisor)","","","http://www.mxdgroup.com/","(866) 711-3129","","7795 Walton Pkwy, Suite 300   400","43054-0001","OH","New Albany"
"7","NFI","N/A","","","","https://www.nfiindustries.com/","(816) 842-1968","fixed line","","64116-4313","MO","N Kansas City"
"8","United Parcel Service","N/A","Customer Relations , Ms. Lani Perez","","","http://www.ups.com","(404) 828-6000","fixed line","55 Glenlake Pkwy NE","30328-3474","GA","Atlanta"
"9","Lawrence Traffic Bureau, Inc","N/A","Mr. Tom Smith (Owner) , Mr. Marshal Smith (Company Contact) , Mr. Travis Smith (Controller)","","","http://tomkentransportation.com","(816) 277-0870","other","6700 Wilson Rd","64125-1449","MO","Kansas City"
"10","WLX, LLC","N/A","Mr. John Hein (Owner/Manager)","","","http://www.wlxtrans.com","(816) 746-2800","fixed line","124 NW Business Park Ln","64150-9546","MO","Riverside"
"11","Ryder System, Inc.","N/A","Ms. Olga Alvarez (Paralegal) , Heather Steinberg (Marketing and Communications Manager)","","","http://www.ryder.com","(305) 500-3683","fixed line","11690 NW 105th St","33178-1103","FL","Medley"
"12","XPO Logistics, Inc.","N/A","Mr. Troy Cooper (President)","","","http://www.xpo.com/","(855) 976-6951","","5 American Ln","06831-2551","CT","Greenwich"
"13","UnitedHealth Group","N/A","Stephen Hemsley (President   CEO) , Consumer Affairs (Owner / Manager) , Jean Manowski (Manager) , Kevin Klopfenstein (CEO) , Jay Anliker (President) , Deltha Nelson (Legal Services Specialist) , Michelle Johnson (Manager) , Michael Stone (Director, Operations) , Michael Blaszyk (Owner)","","","https://www.uhc.com/","(800) 842-2656","","9900 Bren Rd E Mn008-T-615 Consumer Affairs","55343-4402","MN","Minnetonka"
"1","BlueGrace Logistics Omaha","N/A","Mr. Pete Marinkovich (President)","","","https://mybluegrace.com/","(402) 301-4858","mobile","PO Box 27959","68127-0959","NE","Omaha"
"2","Scrivenor Logistics Services","N/A","William Steffens","","","","(402) 382-6976","voip","3555 Farnam St, #103 (NOT at this address)","68131","NE","Omaha"
"3","Nagat Logistics","N/A","Mr. Issifou Boukari (Owner)","","","https://www.nagatshipping.com","(402) 516-2057","mobile","5910 S 50th St","68117-2435","NE","Omaha"
"4","JJT Transportation   Logistics","N/A","Mrs. Erin M. Ferris (Office Manager) , Mrs. Rebecca L. Cloyed (Owner/Partner) , Mr. Joel R. Euler (Owner/Partner) , Mr. James C. Quimby (Owner/Partner)","","","https://www.jjttrans.com/","(402) 614-4777","fixed line","7006 J St","68117-1016","NE","Omaha"
"5","M7 Logistics","N/A","Mr. Matt Buddenhagen (Owner)","","","","(402) 934-7537","other","PO Box 451178","68145","NE","Omaha"
"6","Midwest Logistic Solutions","N/A","Mr. Kerry Lawrence (Owner) , Mrs. Laurie Bock-Lawrence (Owner)","","","http://www.nationsexpress.com","(402) 884-4385","other","8998 L St # 233","68127-2782","NE","Omaha"
"8","Joshstock Logistics Service LLC","N/A","Valentina Hernandez (Manager)","","","","","","1601 Dodge St #2200","68102","NE","Omaha"
"9","Isocapt, LLC","N/A","Mr. Georgi I. Ivanov (Vice President) , Mr. Trevor L. Carritt (President/Owner)","","info@isocaptllc.com","http://www.isocaptllc.com","(402) 689-4108","mobile","PO Box 6141","68106-0141","NE","Omaha"
"11","U-Pack","N/A","Ms. Nicki Key (Operations Manager)","","","http://www.upack.com","(877) 453-7274","","3801 Old Greenwood Rd","72903-5937","AR","Fort Smith"
"12","Ryder System, Inc.","N/A","Ms. Olga Alvarez (Paralegal) , Heather Steinberg (Marketing and Communications Manager)","","","http://www.ryder.com","(305) 500-3683","fixed line","11690 NW 105th St","33178-1103","FL","Medley"
"13","NAPAREX, LLC","N/A","Mr. Monte O'Hara (CEO) , Mrs. Hayley Grade , Naparex National (Owner)","","","http://www.naparex.com","(866) 577-1603","","3326 S 67th St # 101","68106-3668","NE","Omaha"
"14","DPS Auto Shippers","N/A","","","","","(888) 386-5017","","4480 S 90th St (NOT at this address)","68127","NE","Omaha"
"15","Star Logistics, Inc.","N/A","Mr. Douglas L. Kerns (General Manager)","","","http://www.star-logistics.net/","(402) 896-0708","other","3850 S 149th St # 111","68144-5516","NE","Omaha"
"16","United Parcel Service","N/A","Customer Relations , Ms. Lani Perez","","","http://www.ups.com","(404) 828-6000","fixed line","55 Glenlake Pkwy NE","30328-3474","GA","Atlanta"
"17","Imperial Roof Systems","N/A","Mr. Steve Marshall (Owner)","","","http://www.imperialroofsystems.com","(402) 596-1700","other","6103 Ohern St","68117-1606","NE","Omaha"
"18","UnitedHealth Group","N/A","Stephen Hemsley (President   CEO) , Consumer Affairs (Owner / Manager) , Jean Manowski (Manager) , Kevin Klopfenstein (CEO) , Jay Anliker (President) , Deltha Nelson (Legal Services Specialist) , Michelle Johnson (Manager) , Michael Stone (Director, Operations) , Michael Blaszyk (Owner)","","","https://www.uhc.com/","(800) 842-2656","","9900 Bren Rd E Mn008-T-615 Consumer Affairs","55343-4402","MN","Minnetonka"
"19","R O Transportation, LLC","N/A","Mr. Johnny R. Rogers (Owner)","","","","(402) 714-5064","mobile","3620 N 49th St","68104-3650","NE","Omaha"
"20","JLSXPress Package   Carrier Services","N/A","Mr. Johnathan Semans (Owner)","","","https://jlsxpress402.business.site/?utm_source=gmb amp;utm_medium=referral","(402) 312-1637","mobile","6333 N 33rd St","68111-1219","NE","Omaha"
"21","Sympateco, Inc.","N/A","Mr. Curt T. Brannon (President)","","info@sympatecoinc.com","http://www.sympatecoinc.com/","(402) 333-1661","other","8800 F St","68127-1507","NE","Omaha"
"22","Werner Enterprises, Inc.","N/A","Mr. John Steele (CFO) , Ms. Stefanie Christensen (Vice President of Human Resources) , Mr. Derek Leathers (President/CEO)","","carriersedge@werner.com","https://www.werner.com/","(402) 895-6640","fixed line","14507 Frontier Rd","68138-3808","NE","Omaha"
